Agent Name,Agent Number,Address1,Address2,City,Province,PostalCode,Country,Telephone,Fax,EmailAddress,Vanline,Contact
LAC ST JEAN DEMENAGEMENT,892,2105 DU PONT SUD,,ALMA,QC,G8B 6M7,Canada,4186688361,4186683589,info@demenagementlacstjean.com,MVL,ANDRE DALLAIRE
ST. GEORGE MOVING & STORAGE,896,820 KOOTENAY ST. N,,CRANBROOK,BC,V1C 3V3,Canada,2504264271,2504263461,williamscrbk@shawbiz.ca,MVL,CORY STEPNEY
METRO MOVING & STORAGE LTD.,898,1890 EAST WELLINGTON ROAD,,NANAIMO,BC,V9S 5X7,Canada,2507589156,2507584022,stanc@island.net,MVL,PEGGY HENWOOD
PORTAGE CARTAGE & STORAGE,900,1680 SARGENT AVE.,,WINNIPEG,MB,R3H 0C2,Canada,2046338059,2046943261,sales@portagecartage.ca,MVL,HARVEY MEULLER
MARITIME WAREHOUSING & TRANSFER (1999) I,902,297 RESTIGOUCHE ROAD,,OROMOCTO,NB,E2V 2H1,Canada,5064588838,5064466977,maritime1999inc@nb.aibn.com,MVL,TIM HENRY
ALTERNATE MOVING SYSTEMS,903,#101-31330 WHEEL AVE,,ABBOTSFORD,BC,V2T 6G9,Canada,6048703275,6048501320,alternate@telus.net,MVL,CEEJAY NEUFELD
MSA MOVING & STORAGE LTD,911,31632 MARSHALL ROAD,,ABBOTSFORD,BC,V2T 6B1,Canada,6048595066,6048591161,info@msa.ca,MVL,LES ASSELS
APPLEBY MOVING & STORAGE LTD.,915,1175 APPLEBY LINE UNIT A1,,BURLINGTON,ON,L7L 5H9,Canada,9053361173,9053366216,,MVL,JEFF RICHARDSON
DEMENAGEMENT INTER-CITE MTL INC,916,1240 GRAHAM BELL,,BOUCHERVILLE,QC,J4B 6H5,Canada,4506552962,4506414733,N/A,MVL,CHARLES DUSSAUL
ARMSTRONG-LESLIE MOVING & STORAGE,918,938 DOUGLAS STREET,,BRANDON,MB,R7A 7B2,Canada,2047284415,2047270963,sales@directmovingsystems.com,MVL,MIKE BECKER
ANY SIZE MOVING & STORAGE,923,56 RAILWAY ST.,,KINGSTON,ON,K7K 2L8,Canada,6135441897,6135446296,mayflowerkingston@pleasemoveme.com,MVL,GLENN C. WARNER
MCWILLIAMS MOVING SYSTEMS,924,712 THE KINGSWAY,P.O. BOX 353,PETERBOROUGH,ON,K9J 6Z3,Canada,7057434597,7057434226,mms@mcwilliamsmoving.com,MVL,JIM MCWILLIAMS
BARRHAVEN MOVING,930,10 RUE EMILE-BOND,,GATINEAU,QC,J8Y 3M7,Canada,6138208400,8197707460,jonathan@dgmacdonaldmoving.com,MVL,JONATHAN GILBOA
ANY SIZE MOVING & STORAGE,932,2-19 FRANKFORD CRES,P.O. BOX 603,TRENTON,ON,K8V 5R7,Canada,6133924159,6133926916,trenton@anysizemoving.com,MVL,ETIENNE POULIN
FOX CARTAGE (PEMBROKE) LTD.,933,1001 MACKAY STREET,,PEMBROKE,ON,K8A 6X7,Canada,6137357967,6137356170,N/A,MVL,DALE ROBINSON
CLASSIC RELOCATION LTD.,940,145 EDINBURGH DR.,MONCTON IND. PARK,MONCTON,NB,E1E 2K9,Canada,5068549220,5068573087,deanw@nb.aibn.com,MVL,WADE WRY
DIRECT MOVING SYSTEMS,941,243 N. CUMBERLAND ST.,,THUNDER BAY,ON,P7A 4N4,Canada,8073441181,8073455569,sales@directmovingsystems.com,MVL,GARY WOODBECK
WILSON'S RELOCATION,943,480 FINCHDENE SQUARE,,SCARBOROUGH,ON,M1X 1C2,Canada,4162930776,4162927764,pat@abbeywoodmoving.com,MVL,FRED HAWTHORNE
A MOVING JOURNEY,948,55 MIDPARK CRES.,,LONDON,ON,N6N 1A9,Canada,5196683666,5196817931,peiri@amjlondon.com,MVL,LAURIE CUSHMAN
DEMENAGEMENT INTER-CITE LTEE.,950,445 RUE MENDEL,,STE-FOY,QC,G1X 4B9,Canada,4188723757,4188722464,info@demenagementstefoy.com,MVL,LUC PROVENCHER
ATLANTIC CANADA MOVING SYSTEMS,952,320 WRIGHT AVENUE,UNIT  12,DARTMOUTH,NS,B3B 0B3,Canada,9028768202,9028760900,hssdart@hoytsgroup.com,MVL,GRAHAM HARRIS
SUPERIOR MOVING & STORAGE,953,10075 HENRI-BOURASSA WEST,,ST. LAURENT,QC,H9B 2M5,Canada,8662812020,5146760779,info@martelexpressmontreal.com,MVL,MICHAEL DESAUTE
NORTH STAR MOVING,954,5003-52 AVENUE SE,,CALGARY,AB,T2C 4N7,Canada,4032369717,4032365031,calgary@northstarmoving.ca,MVL,WES ROBINSON
ISLAND MOVING SYSTEMS LTD,955,127 RYAN ST.,,SUMMERSIDE,PE,C1N 4K2,Canada,9024369234,9024367612,mayflowermoving@eastlink.ca,MVL,DAVE ARSENAULT
MAJESTIC MOVING SERVICES,956,11516-163 ST.,,EDMONTON,AB,T5M 3T3,Canada,7804835289,7804878548,pauls@majesticmoving.ca,MVL,TED LELACHEUR
M & K TRANSFER SERVICES,960,NO. 3 BURNS ROAD,,WHITEHORSE,YT,Y1A 4Z3,Canada,8676337731,8676686165,pacificnorthwest@whtvcable.com,MVL,SHELDON KING
LES DEMENAGEURS PILON (1982),961,1065 AVENUE DES PERRON,,LAVAL,QC,H7H 3C5,Canada,4504375051,4504356205,info@laurinexpress.com,MVL,JEAN-M BOUSQUET
ALL MATT MOVING & STORAGE INC.,964,100 LEON PAUL,,E FARNHAM,QC,J2K 4E7,Canada,4502666002,4502660354,,MVL,PAUL CUPLINSKAS
1ST SHIP MOVING,966,145 SUN PAC BLVD.,,BRAMPTON,ON,L6S 5Z6,Canada,9054528894,9054540235,N/A,MVL,MARK HUDSON
ALLAROUND MOVING,969,1218 2ND AVE.,#2,DUNMORE,AB,T1B 0L4,Canada,4035268032,4035284401,899755moving@canopycanada.net,MVL,ALVA HAMILTON
ALL STAR MOVING SYSTEMS,972,1334 KERRISDALE BLVD UNIT#1,,NEWMARKET,ON,L3Y 8V6,Canada,9058530990,9058301880,MOVE.ALLSTAR@ROGERS.COM,MVL,INGRAM NURSE
BRUNSWICK MOVING AND STORAGE,975,55 MACKENZIE RD,,FREDERICTON,NB,E3B 6B6,Canada,5064726683,5064529110,brhindress@hoytsunited.com,MVL,CHARLES HOYT
DEMENAGEMENT BELLECHASE,976,"1630, BOUL. TALBOT",,QUEBEC CITY,QC,G2N 0C5,Canada,8669295708,4188496473,rapideqc@globetrotter.net,MVL,ERIC AUCLAIR
DIRECT MOVING SYSTEMS,978,490 LUCAS AVE,"PO BOX 10, STN MAIN",WINNIPEG,MB,R3C 2G1,Canada,2046328448,2049434721,sales@directmovingsystems.com,MVL,PETER ARMSTRONG
NORTH STAR MOVING,980,18151-107 AVE N.W.,,EDMONTON,AB,T5S 1K4,Canada,7804894346,7804898017,edmonton@northstarmoving.ca,MVL,IAN KIRK
FEDERAL MOVING & STORAGE,983,225 SAUNDERS RD.,,BARRIE,ON,L4N 9A3,Canada,7057257300,7057342513,simcoemoving@telizon.ca,MVL,ROB WARE
ROSE CITY MOVING AND STORAGE,987,2657 MCDOUGALL ST.,,WINDSOR,ON,N8X 3P3,Canada,5199668805,5199661284,rosecitymoving@kelcom.igs.net,MVL,PAT FLAHERTY
FOX CARTAGE (OTTAWA) LTD.,988,128 WILLOWLEA ROAD,,OTTAWA,ON,K0A 1L0,Canada,6138369891,6138360819,info@wemovetheworld.com,MVL,MARK ROBINSON
M & D EXPRESS,989,127 CLYDE AVE.,DONOVANS IND. PARK,MOUNT PEARL,NL,A1N 4R9,Canada,7093682145,7097472687,,MVL,ANITA O'DONNELL
MCWILLIAMS MOVING SYSTEMS,990,663 COLBY DR.,,WATERLOO,ON,N2V 1C2,Canada,5197253060,5197252898,mmskw@kw.igs.net,MVL,ROB THOMPSON
C. MATHESON TRANSFER LIMITED,994,20 OLAND COURT,,DARTMOUTH,NS,B3B 1V2,Canada,9024681625,9024681779,N/A,MVL,BRYCE BURGESS
TRAIL CARTAGE (2005) LTD,998,1175 B LOWER CHINA CREEK RD.,BOX 410,GENELLE,BC,V0G 1G0,Canada,2506935424,2506935425,startransfer@telus.net,MVL,ERIN MAKORTOFF
